City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Amga,RU,2020-08-20 23:02:35,60.9,131.96,48.18,60,0,4.85
71,Port Said,EG,2020-08-20 22:58:31,31.26,32.28,80.6,78,0,8.05
72,Carver,US,2020-08-20 23:02:36,44.8,-93.78,80.01,77,22,8.99
73,Liseleje,DK,2020-08-20 23:02:36,56.01,11.95,68.0,100,59,9.64
74,Paragominas,BR,2020-08-20 23:02:36,-2.97,-47.48,84.81,44,70,3.91
75,Bereda,ES,2020-08-20 23:02:36,43.27,-7.54,61.0,79,63,8.01
76,Castro,BR,2020-08-20 23:00:21,-24.79,-50.01,51.82,97,100,2.93
77,Grindavik,IS,2020-08-20 23:02:36,63.84,-22.43,50.0,87,75,6.93
78,Sur,OM,2020-08-20 23:02:36,22.57,59.53,91.54,49,96,8.14
79,College Place,US,2020-08-20 23:02:36,46.05,-118.39,91.0,23,1,3.36
80,Rock Sound,BS,2020-08-20 23:02:36,24.9,-76.2,83.71,77,2,13.42
81,General Bravo,MX,2020-08-20 23:02:36,25.8,-99.17,101.14,15,0,5.53
82,Ilebo,CD,2020-08-20 23:02:36,-4.32,20.58,74.97,84,70,0.63
83,Jacareacanga,BR,2020-08-20 23:02:37,-6.22,-57.75,85.98,31,8,1.05
84,Kaitangata,NZ,2020-08-20 23:02:37,-46.28,169.85,52.0,89,100,4.0
85,Iskateley,RU,2020-08-20 23:02:37,67.68,53.15,46.65,97,17,8.97
86,Praia,CV,2020-08-20 23:02:37,14.92,-23.51,78.8,69,40,11.41
87,Kikwit,CD,2020-08-20 22:58:00,-5.04,18.82,78.3,74,85,1.74
88,Banda Aceh,ID,2020-08-20 23:02:37,5.56,95.32,79.48,79,94,4.76
89,Kailua,US,2020-08-20 23:02:37,21.4,-157.74,89.6,62,90,14.99
90,Sa Kaeo,TH,2020-08-20 23:02:37,13.81,102.07,76.96,85,100,0.72
91,Rabo De Peixe,PT,2020-08-20 23:02:37,37.8,-25.58,69.8,94,75,10.29
92,Bara,NG,2020-08-20 23:02:38,10.37,10.73,73.02,89,100,10.45
93,Sao Luis,BR,2020-08-20 23:02:38,-2.53,-44.3,80.6,78,56,13.87
94,Luau,AO,2020-08-20 23:02:38,-10.71,22.22,75.43,26,76,4.61
95,Wenling,CN,2020-08-20 23:02:38,28.37,121.36,87.01,52,16,2.26
96,Touros,BR,2020-08-20 23:02:38,-5.2,-35.46,77.0,83,13,10.29
97,Yar-Sale,RU,2020-08-20 23:02:38,66.83,70.83,54.45,96,100,10.2
98,Ambilobe,MG,2020-08-20 23:02:38,-13.2,49.05,67.19,83,65,3.22
99,Moree,AU,2020-08-20 23:02:38,-29.47,149.85,48.2,66,75,5.82
100,Tahoua,NE,2020-08-20 23:02:38,14.89,5.27,86.0,62,69,2.24
101,Karratha,AU,2020-08-20 23:00:36,-20.74,116.85,68.95,34,1,7.14
102,Vilyuysk,RU,2020-08-20 23:02:39,63.76,121.62,51.76,59,0,2.35
103,Nome,US,2020-08-20 23:02:39,64.5,-165.41,63.0,76,40,9.17
104,Mondlo,ZA,2020-08-20 23:02:39,-27.98,30.72,41.32,68,0,2.06
105,Yenagoa,NG,2020-08-20 23:02:39,4.92,6.26,75.47,88,100,6.22
106,Dingle,PH,2020-08-20 23:02:39,11.0,122.67,77.83,88,98,3.67
107,Taitung,TW,2020-08-20 23:02:39,22.76,121.14,80.6,74,75,4.7
108,Matagami,CA,2020-08-20 23:02:33,49.75,-77.63,64.4,68,1,3.36
109,Bomet,KE,2020-08-20 23:02:39,-0.78,35.34,54.48,91,72,3.29
110,Araouane,ML,2020-08-20 23:02:39,18.9,-3.53,98.83,23,9,0.49
111,Nemuro,JP,2020-08-20 23:02:39,43.32,145.57,61.18,87,74,6.62
112,Khatanga,RU,2020-08-20 23:02:40,71.97,102.5,45.5,62,0,14.38
113,Dauphin,CA,2020-08-20 23:02:26,51.15,-100.05,87.8,40,1,9.17
114,Esperance,AU,2020-08-20 23:02:08,-33.87,121.9,46.4,100,75,3.36
115,Lebu,CL,2020-08-20 23:02:40,-37.62,-73.65,50.52,82,0,19.6
116,Moyale,KE,2020-08-20 23:02:06,3.52,39.06,69.51,70,59,13.18
117,Daru,PG,2020-08-20 23:02:40,-9.08,143.21,78.31,71,3,8.43
118,Shaunavon,CA,2020-08-20 23:02:40,49.65,-108.42,87.19,27,59,11.45
119,Okhotsk,RU,2020-08-20 23:02:40,59.38,143.3,53.53,68,100,8.1
120,Staunton,US,2020-08-20 23:02:40,38.15,-79.07,78.8,65,1,6.93
121,Gimli,CA,2020-08-20 23:02:40,50.63,-96.99,89.01,98,20,1.99
122,Pontianak,ID,2020-08-20 23:02:41,-0.03,109.33,74.46,89,62,2.17
123,Ngunguru,NZ,2020-08-20 23:02:41,-35.62,174.5,63.0,3,0,7.0
124,Sarab,IR,2020-08-20 23:02:41,38.61,44.99,71.69,48,0,0.13
125,Carutapera,BR,2020-08-20 23:02:41,-1.2,-46.02,78.22,78,0,8.63
126,Homer,US,2020-08-20 23:02:41,59.64,-151.55,66.0,72,40,6.93
127,Hanover,DE,2020-08-20 23:02:41,52.37,9.73,75.0,78,86,5.82
128,West Wendover,US,2020-08-20 23:02:41,40.74,-114.07,96.8,15,1,10.29
129,San Quintin,MX,2020-08-20 23:00:59,30.48,-115.95,79.65,65,35,7.99
130,Te Anau,NZ,2020-08-20 23:01:12,-45.42,167.72,50.7,76,95,1.28
131,Abashiri,JP,2020-08-20 23:02:42,44.02,144.27,62.8,74,63,3.67
132,Lasa,IT,2020-08-20 23:02:05,46.62,10.7,62.6,88,5,2.08
133,Maarianhamina,AX,2020-08-20 23:02:42,60.1,19.93,55.4,100,0,9.46
134,Zajas,MK,2020-08-20 23:02:42,41.61,20.94,64.4,82,0,3.11
135,Koutsouras,GR,2020-08-20 23:02:42,35.03,25.95,79.0,53,0,8.01
136,Portland,US,2020-08-20 23:01:30,45.52,-122.68,82.99,37,75,10.29
137,Koungou,YT,2020-08-20 23:02:42,-12.73,45.2,73.4,78,5,5.82
138,Olafsvik,IS,2020-08-20 23:02:42,64.89,-23.71,49.44,76,0,18.72
139,Shimoda,JP,2020-08-20 23:02:42,34.67,138.95,86.0,74,0,5.68
140,Smithers,CA,2020-08-20 22:59:48,54.78,-127.17,64.4,77,75,3.36
141,Cayenne,GF,2020-08-20 23:00:05,4.93,-52.33,80.6,78,26,4.7
142,Markova,UA,2020-08-20 23:02:42,48.68,24.41,59.29,86,1,5.19
143,Souillac,MU,2020-08-20 23:02:42,-20.52,57.52,69.8,73,40,3.36
144,Ponta Delgada,PT,2020-08-20 23:02:43,37.73,-25.67,69.8,94,75,10.29
145,Richards Bay,ZA,2020-08-20 23:02:43,-28.78,32.04,58.68,86,0,2.44
146,Inta,RU,2020-08-20 23:02:43,66.03,60.17,49.59,93,69,7.31
147,Quatre Cocos,MU,2020-08-20 23:02:43,-20.21,57.76,70.0,73,40,3.36
148,Lancaster,US,2020-08-20 23:00:31,40.25,-76.25,80.6,51,40,5.82
149,Mlonggo,ID,2020-08-20 23:02:43,-6.53,110.7,74.41,82,1,7.27
150,Khandyga,RU,2020-08-20 23:02:43,62.67,135.6,51.21,51,26,6.15
151,Songjianghe,CN,2020-08-20 23:02:43,42.19,127.48,61.54,88,100,1.23
152,Prince Rupert,CA,2020-08-20 22:59:29,54.32,-130.32,60.8,82,90,13.87
153,Erdaojiang,CN,2020-08-20 23:02:43,41.78,126.03,64.89,79,100,1.43
154,Ribnica,SI,2020-08-20 23:02:43,45.74,14.73,66.0,83,0,1.43
155,Shaowu,CN,2020-08-20 23:02:43,27.34,117.48,76.82,88,95,2.15
156,Nicoya,CR,2020-08-20 23:00:03,10.15,-85.45,75.2,94,75,10.29
157,Mahonda,TZ,2020-08-20 23:02:44,-6.45,39.47,75.2,83,20,12.19
158,Khor,RU,2020-08-20 23:02:44,47.89,134.95,57.83,82,0,8.81
159,Zhangye,CN,2020-08-20 23:02:44,38.93,100.45,74.55,40,99,10.51
160,Noumea,NC,2020-08-20 23:02:44,-22.28,166.46,75.99,64,38,8.05
161,Farmington,US,2020-08-20 23:02:44,36.73,-108.22,100.4,7,1,14.99
162,Maceio,BR,2020-08-20 23:02:44,-9.67,-35.74,77.0,83,40,8.05
163,Nelson Bay,AU,2020-08-20 23:02:44,-32.72,152.15,59.0,58,20,26.4
164,Juneau,US,2020-08-20 23:00:00,58.3,-134.42,62.6,67,90,5.82
165,Murygino,RU,2020-08-20 23:02:44,58.74,49.46,50.43,91,95,6.15
166,Surin,TH,2020-08-20 23:02:44,14.88,103.49,77.0,94,40,1.12
