City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
226,Kisangani,CD,73.99,moderate rain,0.52,25.2,Grand Ramela Hotel
236,Palampur,IN,69.15,few clouds,32.12,76.53,FLB Resorts Jerry's Jungle Huts
241,Noumea,NC,64.4,overcast clouds,-22.28,166.46,Hôtel Le Lagon
243,Mar Del Plata,AR,62.6,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
244,Beloha,MG,62.04,clear sky,-25.17,45.05,
250,Tsaratanana,MG,67.1,clear sky,-16.78,47.65,
252,Podlesnoye,RU,61.3,overcast clouds,51.82,47.01,Gostinnitsa
257,Soyo,AO,74.14,clear sky,-6.13,12.37,Hotel Mpampa
273,Constitucion,CL,60.26,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
274,Namibe,AO,63.57,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
275,Cap Malheureux,MU,68.0,scattered clouds,-19.98,57.61,Pereybere Hotel & Spa
278,College,US,66.2,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
280,Djambala,CG,73.31,light rain,-2.54,14.75,Auberge Chez Les Emmanuelles
281,Roseburg,US,70.0,scattered clouds,43.22,-123.34,Holiday Inn Express Roseburg
282,Weihe,CN,65.86,light rain,33.0,105.32,
283,Torbay,CA,69.01,broken clouds,47.67,-52.73,Gallows Cove
286,Tura,IN,73.83,broken clouds,25.52,90.22,Hotel RIKMAN Continental
290,Ribnitz-Damgarten,DE,69.01,broken clouds,54.25,12.47,Perle am Bodden
292,Panguna,PG,67.82,overcast clouds,-6.32,155.48,
293,Qixia,CN,66.61,clear sky,37.3,120.83,Etsong Hotel
301,Kalabo,ZM,70.48,clear sky,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
302,Portland,US,72.0,light rain,45.52,-122.68,Portland Marriott City Center
303,Chaumont,FR,72.0,overcast clouds,48.12,5.13,Hôtel Restaurant Des Remparts
304,Kununurra,AU,68.0,clear sky,-15.77,128.73,Hotel Kununurra
305,Cristalina,BR,72.55,broken clouds,-16.77,-47.61,HOTEL TOPAZIO
307,Zacler,CZ,64.0,overcast clouds,50.66,15.91,Penzion u Sjezdovky
308,Kashi,CN,72.37,clear sky,39.45,75.98,帕米尔青年旅舍
310,Karcsa,HU,73.4,clear sky,48.31,21.81,Karcsa
314,Llandrindod Wells,GB,61.0,light rain,52.24,-3.38,Metropole Hotel and Spa
315,Eureka,US,69.01,few clouds,40.8,-124.16,Eureka Inn Trademark By Wyndham
318,Kodiak,US,64.4,clear sky,57.79,-152.41,Best Western Kodiak Inn and Convention Center
320,Tucuman,AR,69.8,smoke,-26.82,-65.22,Dallas Hotel Tucuman
322,Katobu,ID,71.58,overcast clouds,-4.94,122.53,La Ode Husein
325,Vao,NC,72.32,broken clouds,-22.67,167.48,Hotel Kou-Bugny
329,Maldonado,UY,62.01,clear sky,-34.67,-54.92,La Cimarrona
332,Nantes,FR,66.99,broken clouds,47.17,-1.58,Hôtel Première Classe Nantes Rezé Aéroport
335,Nabire,ID,73.45,moderate rain,-3.37,135.48,Hotel Nusantara Nabire
338,Bambous Virieux,MU,69.8,scattered clouds,-20.34,57.76,Casa Tia Villa
339,Nykoping,SE,68.0,few clouds,58.75,17.01,Clarion Collection Hotel Kompaniet
341,Rodrigues Alves,BR,66.2,overcast clouds,-7.74,-72.65,Pousada Aconchego
342,Olonets,RU,62.58,overcast clouds,60.98,32.97,Country House on Savodaya 9
343,Kyrylivka,UA,71.37,clear sky,46.38,35.37,"Rok-Hotelʹ ""Kleopatra"""
345,Kamiiso,JP,64.27,broken clouds,41.82,140.65,ビジネス民宿あべ
348,Hualmay,PE,66.33,clear sky,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
350,Cugir,RO,70.0,clear sky,45.83,23.37,Hotel Dragana Cugir
352,Zabaykalsk,RU,60.89,overcast clouds,49.63,117.32,Gostinitsa Zolotoy Drakon
354,Lagoa,PT,72.68,clear sky,39.05,-27.98,Casa Das Faias
362,Almaty,KZ,64.4,few clouds,43.25,76.95,Holiday Inn Almaty
370,Kulunda,RU,60.75,light rain,52.57,78.94,Kulunda 24
371,Bermejo,AR,62.6,clear sky,-32.88,-68.8,Hotel Mendoza
372,Ayagoz,KZ,64.71,broken clouds,47.97,80.44,Gostinitsa Nur
378,Braco Do Norte,BR,61.02,clear sky,-28.27,-49.17,Costa Nobre Hotel
385,Dombarovskiy,RU,62.92,overcast clouds,50.76,59.54,
386,Sao Joao Da Barra,BR,64.4,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
387,Inhambane,MZ,62.6,clear sky,-23.86,35.38,Oceano
388,Port Shepstone,ZA,64.99,clear sky,-30.74,30.45,My Den Beachfront B&B And Self-Catering
398,Svetlyy,RU,68.0,broken clouds,54.67,20.13,"Gostinitsa-Kafe, Alena"
399,Oga,IT,63.0,few clouds,46.46,10.35,QC Terme Bagni di Bormio Bagni Nuovi
400,Dongying,CN,71.19,clear sky,37.46,118.49,Wanda Realm
402,Maxixe,MZ,62.6,clear sky,-23.86,35.35,Oceano
406,Port Hedland,AU,60.8,clear sky,-20.32,118.57,The Esplanade Hotel
408,Vangaindrano,MG,66.18,light rain,-23.35,47.6,Hotel Fanilo
410,Mocuba,MZ,64.33,clear sky,-16.84,36.99,Phama Lodge
411,Roald,NO,60.8,broken clouds,62.58,6.13,Flem Cabins
412,Crewe,GB,63.0,light rain,53.1,-2.44,Crewe Hall
