City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
82,Anadyr,64.75,177.48,50.0,broken clouds,93,75,11.18,RU
83,Hobart,-42.88,147.33,46.4,light intensity shower rain,81,90,16.11,AU
84,Tuatapere,-46.13,167.68,39.99,overcast clouds,97,100,3.47,NZ
85,Pevek,69.7,170.31,38.59,light rain,97,100,5.84,RU
86,Jamestown,42.1,-79.24,84.99,few clouds,51,20,6.93,US
87,Sao Goncalo,-22.82,-43.04,64.4,light rain,88,90,10.29,BR
88,Algiers,36.75,3.04,84.2,few clouds,70,20,5.82,DZ
89,Nanzhang,31.78,111.84,72.46,scattered clouds,90,37,0.31,CN
90,Leningradskiy,69.38,178.42,45.3,few clouds,87,11,5.12,RU
91,Qaanaaq,77.48,-69.36,38.34,overcast clouds,78,100,2.84,GL
92,Raga,8.46,25.68,72.52,light rain,95,78,1.39,SS
93,Sechura,-5.56,-80.82,74.17,overcast clouds,52,91,13.22,PE
94,Luganville,-15.53,167.17,75.2,few clouds,88,20,4.7,VU
95,Shimanovsk,52.0,127.7,57.29,clear sky,92,0,3.91,RU
96,Busselton,-33.65,115.33,51.01,broken clouds,84,80,11.63,AU
97,Kaitangata,-46.28,169.85,50.0,overcast clouds,83,100,7.0,NZ
98,Clyde River,70.47,-68.59,49.5,overcast clouds,71,100,7.2,CA
99,Isangel,-19.55,169.27,73.4,few clouds,83,13,6.93,VU
100,Cururupu,-1.83,-44.87,83.3,light rain,74,3,6.13,BR
101,Esperance,-33.87,121.9,51.8,overcast clouds,81,90,14.99,AU
102,Upernavik,72.79,-56.15,43.93,broken clouds,72,70,9.91,GL
103,Bethel,41.37,-73.41,88.0,scattered clouds,45,40,6.93,US
104,Smithers,54.78,-127.17,55.4,light rain,82,75,5.82,CA
105,Mayumba,-3.43,10.66,73.72,scattered clouds,84,37,3.53,GA
106,Omboue,-1.57,9.26,74.46,overcast clouds,79,88,8.5,GA
107,Hasaki,35.73,140.83,77.0,mist,94,75,5.82,JP
108,Maine-Soroa,13.21,12.02,87.93,overcast clouds,45,100,6.98,NE
109,Provideniya,64.38,-173.3,49.14,light rain,94,100,5.26,RU
110,Hirara,24.8,125.28,83.46,moderate rain,81,100,43.37,JP
111,Lompoc,34.64,-120.46,82.99,clear sky,54,1,6.93,US
112,Chuy,-33.7,-53.46,57.49,clear sky,49,0,5.39,UY
113,Clearwater,27.97,-82.8,88.0,clear sky,66,1,8.05,US
114,Coquimbo,-29.95,-71.34,51.8,overcast clouds,81,90,9.17,CL
115,Diego De Almagro,-26.37,-70.05,73.58,clear sky,19,0,11.14,CL
116,Nanortalik,60.14,-45.24,48.92,scattered clouds,66,43,3.29,GL
117,Meulaboh,4.14,96.13,74.73,overcast clouds,88,91,3.04,ID
118,Tuktoyaktuk,69.45,-133.04,51.8,few clouds,81,20,9.17,CA
119,Rosetta,31.4,30.42,80.6,clear sky,78,0,6.93,EG
120,Tiksi,71.69,128.87,40.19,light rain,91,100,7.11,RU
121,Tautira,-17.73,-149.15,78.8,scattered clouds,69,40,2.24,PF
122,Ginda,30.69,78.49,64.89,light rain,87,83,1.14,IN
123,Ilulissat,69.22,-51.1,44.6,few clouds,65,20,4.7,GL
124,Ampanihy,-24.7,44.75,61.27,clear sky,76,0,9.42,MG
125,Salalah,17.02,54.09,78.8,broken clouds,94,75,2.24,OM
126,Tarakan,3.3,117.63,80.22,scattered clouds,84,36,5.5,ID
127,Nantucket,41.28,-70.1,73.4,clear sky,88,1,11.41,US
128,Victoria,22.29,114.16,82.0,scattered clouds,78,37,5.41,HK
129,Longyearbyen,78.22,15.64,44.6,scattered clouds,65,40,8.05,SJ
130,Khorramshahr,30.44,48.17,98.6,clear sky,14,0,4.7,IR
131,Khatanga,71.97,102.5,48.79,clear sky,76,0,7.14,RU
132,Menongue,-14.66,17.69,67.1,broken clouds,27,54,4.63,AO
133,Skelleftea,64.75,20.95,66.0,clear sky,88,0,11.41,SE
134,Pavilosta,56.89,21.19,69.8,light rain,94,100,6.93,LV
135,Llangefni,53.26,-4.31,61.0,broken clouds,93,84,26.4,GB
136,Antalaha,-14.9,50.28,67.62,clear sky,79,0,8.57,MG
137,Barrow,71.29,-156.79,41.0,fog,93,90,23.04,US
138,Tual,-5.67,132.75,78.76,scattered clouds,81,36,16.69,ID
139,Saint George,37.1,-113.58,97.0,clear sky,30,1,3.36,US
140,North Platte,41.12,-100.77,93.99,clear sky,41,1,3.36,US
141,Fortuna,40.6,-124.16,69.01,broken clouds,82,75,10.29,US
142,Shahr-E Kord,32.33,50.86,64.4,clear sky,17,0,6.93,IR
143,Madison,34.73,-86.57,82.99,broken clouds,65,75,5.03,US
144,Siva,29.2,25.52,85.8,clear sky,35,0,12.66,EG
145,Guerrero Negro,27.98,-114.06,90.34,clear sky,38,0,7.76,MX
146,La Sarre,48.8,-79.2,66.51,broken clouds,73,69,6.4,CA
147,Jiuquan,39.74,98.52,68.34,overcast clouds,38,100,5.32,CN
148,Puerto Carreno,6.19,-67.49,84.2,broken clouds,66,75,4.7,CO
149,Ancud,-41.87,-73.82,55.99,overcast clouds,100,90,13.87,CL
150,Egvekinot,66.32,-179.17,46.94,light rain,97,100,8.68,RU
151,Marsa Matruh,31.35,27.25,78.8,broken clouds,78,75,8.05,EG
152,Shimoda,34.67,138.95,71.01,light rain,93,100,3.36,JP
153,Pskov,57.81,28.35,66.2,overcast clouds,63,100,6.71,RU
154,Faanui,-16.48,-151.75,76.86,light rain,80,11,25.5,PF
155,Thompson,55.74,-97.86,50.0,broken clouds,76,75,10.29,CA
156,Stornoway,58.21,-6.39,54.0,light rain,93,79,10.29,GB
157,Bonthe,7.53,-12.51,76.96,moderate rain,89,100,8.08,SL
158,Los Llanos De Aridane,28.66,-17.92,77.0,few clouds,78,11,17.22,ES
159,Xifeng,42.74,124.72,64.58,broken clouds,90,81,3.44,CN
160,Rapid Valley,44.06,-103.15,91.99,smoke,24,1,4.45,US
161,Pathein,16.78,94.73,77.88,overcast clouds,89,100,7.36,MM
162,Port Blair,11.67,92.75,82.22,overcast clouds,78,100,12.86,IN
163,Aloleng,16.13,119.78,81.88,overcast clouds,79,97,10.54,PH
164,Carutapera,-1.2,-46.02,84.27,clear sky,69,9,9.57,BR
165,Dwarka,22.24,68.97,82.17,overcast clouds,89,100,14.45,IN
166,Petropavlovsk-Kamchatskiy,53.05,158.65,46.4,clear sky,81,0,8.95,RU
167,Saskylakh,71.92,114.08,35.69,clear sky,85,0,4.61,RU
168,Buraydah,26.33,43.98,100.4,scattered clouds,18,42,10.29,SA
169,Lowicz,52.11,19.95,69.01,moderate rain,10,100,9.17,PL
170,Banda Aceh,5.56,95.32,78.98,clear sky,80,10,7.02,ID
171,Proletariy,58.43,31.7,61.12,overcast clouds,77,100,7.18,RU
172,Atuona,-9.8,-139.03,78.35,light rain,78,4,19.35,PF
173,Palana,59.12,159.97,45.19,overcast clouds,89,100,7.9,RU
174,Severo-Kurilsk,50.68,156.12,49.32,scattered clouds,89,39,11.59,RU
175,Muros,42.78,-9.06,70.0,few clouds,68,20,8.05,ES
176,Vila Velha,-20.33,-40.29,64.4,mist,93,90,17.22,BR
177,Srednekolymsk,67.45,153.68,35.92,overcast clouds,85,100,12.88,RU
178,Yeppoon,-23.13,150.73,60.8,clear sky,51,0,12.75,AU
179,The Valley,18.22,-63.06,82.4,scattered clouds,88,40,13.87,AI
180,Chardara,41.25,67.97,74.79,clear sky,25,0,9.26,KZ
181,Norman Wells,65.28,-126.83,60.8,scattered clouds,67,40,12.75,CA
182,Abidjan,5.31,-4.02,77.0,few clouds,94,20,9.17,CI
183,Castro,-24.79,-50.01,51.73,broken clouds,71,77,8.7,BR
184,Grindavik,63.84,-22.43,53.6,clear sky,76,0,12.75,IS
185,Chapais,49.78,-74.85,64.4,overcast clouds,52,90,2.24,CA
186,Coahuayana,18.73,-103.68,80.6,broken clouds,78,75,6.85,MX
187,Komsomolskiy,40.43,71.72,71.6,clear sky,46,0,4.7,UZ
188,Hobyo,5.35,48.53,76.51,overcast clouds,77,100,27.0,SO
189,Saint Anthony,45.02,-93.22,80.6,clear sky,65,1,4.14,US
190,Tezu,27.92,96.17,75.49,overcast clouds,81,100,2.98,IN
191,Korla,41.76,86.15,87.01,clear sky,51,2,4.0,CN
192,Mujiayingzi,42.12,118.78,61.39,overcast clouds,83,100,6.76,CN
193,San Rafael,-34.62,-68.33,69.33,clear sky,20,0,19.15,AR
194,Albina,5.5,-54.05,89.35,overcast clouds,50,94,5.41,SR
195,Zhicheng,30.3,111.5,79.0,few clouds,90,12,0.31,CN
196,Lethem,3.38,-59.8,88.92,broken clouds,54,75,1.14,GY
197,Hithadhoo,-0.6,73.08,83.48,clear sky,79,0,15.08,MV
198,Heidenreichstein,48.87,15.12,66.99,moderate rain,83,100,5.01,AT
199,Thinadhoo,0.53,72.93,83.8,clear sky,76,3,9.71,MV
200,Zhezkazgan,47.8,67.71,61.56,scattered clouds,56,36,7.07,KZ
201,Lavrentiya,65.58,-171.0,46.17,light rain,95,100,9.48,RU
202,Carnarvon,-24.87,113.63,66.2,overcast clouds,77,100,8.05,AU
203,Margate,51.38,1.39,68.0,overcast clouds,68,100,4.0,GB
204,Ganzhou,28.82,115.43,78.19,clear sky,83,1,2.75,CN
205,Moletai,55.23,25.42,71.01,light rain,73,97,13.87,LT
206,Morros,-9.45,-46.3,95.79,overcast clouds,18,90,1.9,BR
207,Tecoanapa,16.52,-98.75,87.46,overcast clouds,62,99,9.33,MX
208,Gimbi,9.17,35.83,59.13,light rain,100,100,2.73,ET
209,Sao Filipe,14.9,-24.5,79.36,scattered clouds,77,26,3.09,CV
210,Olafsvik,64.89,-23.71,52.41,clear sky,67,0,8.14,IS
211,Fuyu,45.18,124.82,60.84,overcast clouds,75,100,7.25,CN
